state_code,population_age_median,population_total_count,population_18yr_over_count,population_25yr_over_count,population_25yr_over_with_bachelor_degree_count,population_18_34yr_over_count,population_25_64yr_over_count,population_65yr_over_count,population_bachelors_count,population_graduate_count,population_household_type_total_count,population_household_income_family_median,population_household_income_earnings_median,population_employment_total_count,population_employed_count,population_unemployed_count,housing_units_occupancy_status_total_count,housing_units_occupied_count,housing_units_vacant_count,housing_units_vacancy_status_total_count,housing_units_for_rent_count,housing_units_rented_count,housing_units_for_sale_count,housing_units_sold_count,number_of_rooms_median,number_of_units_total_count,construction_year_median,contract_rent_median,home_value_lower_quartile,home_value_median,home_value_upper_quartile,housing_units_mortgage_status_total_count,housing_cost_real_estate_taxes_median,housing_cost_monthly_median,gross_rent_median,household_income_median,household_income_mean,household_income_under_10k_count,household_income_10k_15k_count,household_income_15k_20k_count,household_income_20k_25k_count,household_income_25k_30k_count,household_income_30k_35k_count,household_income_35k_40k_count,household_income_40k_45k_count,household_income_45k_50k_count,household_income_50k_60k_count,household_income_60k_75k_count,household_income_75k_100k_count,household_income_100k_125k_count,household_income_125k_150k_count,household_income_150k_200k_count,household_income_200k_over_count,families_total_count
27,38.6,5713716,4396457,3897590,984748,1188207,2152601,921658,984748,528626,5713716,111492,49217,4549661,2989357,122323,2519538,2282967,236571,236571,34213,7852,10275,7089,6.1,2519538,1978,1128,207500,305500,441500,1652534,3184,1356,1235,87556,115861,80882,63804,60486,63374,63746,68603,72419,71006,75222,150192,208742,307802,253904,195366,249090,298329,1431527
46,37.7,899194,679374,596137,128272,181630,317039,149503,128272,57139,899194,93579,41400,704344,457450,14163,402364,358552,43812,43812,7351,1392,1836,689,5.9,402364,1979,785,137300,236800,362400,246105,2590,986,912,72421,95050,14338,12295,11912,13583,13683,13033,14230,13799,14567,27433,36312,52311,39482,25885,29116,26573,220381
37,39.1,10584340,8261517,7261810,1582709,2243366,4001891,1740610,1582709,938644,10584340,86947,41356,8533822,4990710,253256,4815195,4186924,628271,628271,105689,25081,37065,21811,5.6,4815195,1990,955,152700,259400,414400,2778672,1815,1129,1162,69904,97403,208003,163591,156787,159468,159608,167822,170549,171529,162360,303872,407657,542645,407687,282970,326356,396020,2699070
41,40.1,4238714,3382420,3021010,674901,914118,1607788,765828,674901,419411,4238714,98832,43942,3483666,2051335,116411,1838631,1701548,137083,137083,24819,5152,8050,5614,5.4,1838631,1980,1294,309700,454200,655400,1078343,3767,1507,1450,80426,108321,74987,57467,52738,54087,54350,54476,59245,62057,57241,113650,156996,225597,180002,133991,163392,201272,1054138
56,38.8,579761,447402,395504,74355,118518,214202,101452,74355,43981,579761,95206,41574,462236,285935,11118,275131,238176,36955,36955,5781,681,1648,554,5.8,275131,1980,831,193800,285100,423700,171299,1659,1054,968,74815,97459,10977,8038,7540,9207,8517,9216,8878,8241,7785,16710,24248,32705,26819,18872,21598,18825,148988
72,44.2,3254885,2710949,2412064,499924,717793,1232623,724433,,,3254885,30876,20363,2787925,1113397,153090,1575105,1239243,335862,335862,21549,4391,13961,6352,4.7,1575105,1979,429,90600,124600,180300,844228,627,406,562,25096,40315,267533,131854,119065,99517,83328,70473,62817,53646,44665,70447,74034,70295,35680,17979,18186,19724,796974
04,38.8,7268175,5673395,4990633,999535,1603413,2587590,1323447,999535,627927,7268175,92100,43411,5862117,3340327,182184,3142443,2796790,345653,345653,52788,12150,19787,13138,5.3,3142443,1992,1243,228200,358900,531600,1873231,1858,1327,1431,76872,104138,138046,81789,81346,89293,98747,95302,97415,104712,104022,204470,271522,379387,295792,209518,250343,295086,1805491
08,37.5,5810774,4569892,4038534,1117774,1370115,2216993,861716,1117774,688581,5810774,114822,49876,4717446,3051664,143373,2545124,2325576,219548,219548,42175,8183,12438,7194,5.7,2545124,1987,1556,349600,502200,715600,1542215,2448,1722,1693,92470,124231,89673,59644,54293,62168,63487,60844,67795,68741,70862,141549,206882,301555,248943,199298,263518,366324,1446307
05,38.4,3032651,2326772,2043779,324625,634179,1102588,507962,324625,188596,3032651,74536,37551,2409758,1327740,71269,1382664,1189160,193504,193504,28282,5631,10238,8405,5.5,1382664,1987,699,96500,175300,278700,786534,1003,867,914,58773,82554,71757,59406,53964,59554,56811,55035,57686,50093,50334,91063,116538,150186,107217,63870,70635,75011,772205
11,34.9,672079,546404,484406,126307,191724,242200,81628,126307,181599,672079,150381,79471,556577,371410,25748,356101,321556,34545,34545,14120,2976,2060,1426,3.9,356101,1957,1804,471600,724600,1094900,132288,4180,2103,1900,106287,157604,22813,10792,8065,6686,5395,6825,7667,6656,7643,14256,22465,33409,28093,22437,36184,82170,132972
